GCXH,XZQHMC,KKMC,FXLX,GCSJ,HPZL,"SUBSTR(HPHM,1,4)||'***'",CLPPXH
320300108805919450,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:02,01,鲁Q02***,-
320300108805919799,丰县,徐州市丰县鹿梁路K19丰县梁寨检查站市际卡口,1,2023/12/1 0:02,01,皖LE4***,-
320300108805919900,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:02,01,鲁Q93***,-
320300108805920905,邳州市,徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口,1,2023/12/1 0:04,02,苏F7W***,-
320300108805922450,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:06,01,鲁CR2***,神狐牌-未知系列0-未知年款0
320300108805922640,睢宁县,徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口,2,2023/12/1 0:06,01,豫HT8***,-
320300108805922849,睢宁县,徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口,2,2023/12/1 0:06,01,苏E6K***,-
320300108805922940,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 0:06,01,鲁RM3***,-
320300108805922932,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 0:06,01,鲁RM3***,-
320300108805923229,铜山县,徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口,1,2023/12/1 0:07,02,京C72***,-
320300108805924129,铜山县,徐州市铜山县G310连云港-天水K310江苏徐州-G310-苏皖界省际卡口,1,2023/12/1 0:08,02,苏C2G***,-
320300108805924583,邳州市,徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口,1,2023/12/1 0:09,02,鲁AX5***,-
320300108805925293,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:10,01,鲁Q25***,-
320300108805925526,丰县,徐州市丰县G518518国道K358马楼公路站省际卡口,1,2023/12/1 0:10,01,豫HL5***,-
320300108805926632,沛县,徐州市沛县S253郑沛龙线K0江苏徐州-S253-苏鲁界省际卡口,1,2023/12/1 0:11,-,CP09***,-
320300108805927166,铜山县,徐州市铜山县G310连云港-天水K310江苏徐州-G310-苏皖界省际卡口,1,2023/12/1 0:12,02,皖LLU***,-
320300108805927594,铜山县,徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口,1,2023/12/1 0:13,02,苏CZ2***,-
320300108805928764,丰县,徐州市丰县G518518国道K358马楼公路站省际卡口,1,2023/12/1 0:14,51,苏K78***,未知厂商0牌-未知系列0-未知年款2
320300108805928703,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:14,-,6***,汉江牌-未知系列1-未知年款0
320300108805928759,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:14,-,鲁Q20***,-
320300108805928871,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:14,01,鲁Q28***,-
320300108805929062,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:15,01,苏CSU***,-
320300108805929232,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:15,01,鲁Q81***,-
320300108805929309,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:15,01,鲁Q37***,-
320300108805929479,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:15,01,鲁Q78***,-
320300108805929572,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:15,13,京AQ7***,-
320300108805929733,沛县,徐州市沛县S253郑沛龙线K0江苏徐州-S253-苏鲁界省际卡口,1,2023/12/1 0:16,02,苏C6T***,-
320300108805929845,邳州市,徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口,1,2023/12/1 0:16,02,苏C29***,-
320300108805930320,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:16,01,苏CSZ***,-
320300108805930430,睢宁县,徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口,2,2023/12/1 0:16,01,豫冀N1***,康迪牌-K11 K11B-2015
320300108805930636,铜山县,徐州市铜山县G310连云港-天水K310江苏徐州-G310-苏皖界省际卡口,1,2023/12/1 0:17,02,苏C0Y***,-
320300108805931262,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:18,01,鲁Q72***,-
320300108805931606,睢宁县,徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口,2,2023/12/1 0:18,01,鲁PY8***,-
320300108805931800,丰县,徐州市丰县G518518国道K358马楼公路站省际卡口,1,2023/12/1 0:18,01,鲁RK1***,-
320300108805931821,丰县,徐州市丰县G518518国道K358马楼公路站省际卡口,1,2023/12/1 0:18,01,鲁RM1***,-
320300108805931879,沛县,徐州市沛县S253郑沛龙线K0江苏徐州-S253-苏鲁界省际卡口,1,2023/12/1 0:19,02,苏CX3***,-
320300108805932647,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:20,-,鲁032***,-
320300108805932767,铜山县,徐州市铜山县G310连云港-天水K310江苏徐州-G310-苏皖界省际卡口,1,2023/12/1 0:20,02,鲁MF6***,-
320300108805933658,新沂市,徐州市新沂市S323连徐线K10阿湖卡口-323省道连云港交界市际卡口,1,2023/12/1 0:21,01,鲁UE6***,-
320300108805933643,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:21,01,苏CKG***,汉江牌-未知系列1-未知年款0
320300108805934766,睢宁县,徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口,2,2023/12/1 0:23,01,苏CNG***,-
320300108805934715,铜山县,徐州市铜山县G310连云港-天水K310江苏徐州-G310-苏皖界省际卡口,1,2023/12/1 0:23,02,苏C43***,-
320300108805935732,邳州市,徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口,1,2023/12/1 0:24,-,鲁989***,-
320300108805936418,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:25,01,鲁Q00***,-
320300108805937084,邳州市,徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口,1,2023/12/1 0:26,-,京A86***,-
320300108805937396,睢宁县,徐州市睢宁县G104北京-福州K873江苏徐州-G104-苏皖界省际卡口,1,2023/12/1 0:27,02,苏CS7***,-
320300108805938072,睢宁县,徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口,2,2023/12/1 0:28,01,鲁RU4***,-
320300108805938255,睢宁县,徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口,2,2023/12/1 0:28,01,鲁PV6***,-
320300108805938373,铜山县,徐州市铜山县G310连云港-天水K310江苏徐州-G310-苏皖界省际卡口,1,2023/12/1 0:28,52,苏CDC***,-
320300108805938420,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:28,01,鲁GW5***,奥赛牌-未知系列0-未知年款0
320300108805939022,铜山县,徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口,1,2023/12/1 0:29,02,苏CN1***,-
320300108805939385,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 0:30,-,鲁V22***,-
320300108805939393,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 0:30,-,鲁V22***,-
320300108805940241,沛县,徐州市沛县S253郑沛龙线K0江苏徐州-S253-苏鲁界省际卡口,1,2023/12/1 0:31,02,鲁DVS***,-
320300108805940585,睢宁县,徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口,2,2023/12/1 0:32,01,鲁H67***,-
320300108805940750,铜山县,徐州市铜山县G310连云港-天水K310江苏徐州-G310-苏皖界省际卡口,1,2023/12/1 0:32,02,苏CY0***,-
320300108805940812,铜山县,徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口,1,2023/12/1 0:32,02,苏C7U***,-
320300108805941112,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:33,01,鲁Q85***,-
320300108805941653,铜山县,徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口,1,2023/12/1 0:33,02,苏C38***,-
320300108805942008,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:34,51,鲁Q50***,-
320300108805942116,邳州市,徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口,1,2023/12/1 0:34,-,鲁439***,-
320300108805942660,新沂市,徐州市新沂市S323连徐线K10阿湖卡口-323省道连云港交界市际卡口,1,2023/12/1 0:35,01,皖CA6***,-
320300108805942791,邳州市,徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口,1,2023/12/1 0:35,-,京8FN***,-
320300108805943167,睢宁县,徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口,2,2023/12/1 0:36,01,豫HP1***,-
320300108805944569,睢宁县,徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口,2,2023/12/1 0:38,01,鲁PZ2***,-
320300108805945195,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 0:39,01,苏AV8***,-
320300108805945198,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 0:39,01,苏AV8***,-
320300108805945076,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:39,01,苏CKG***,-
320300108805946939,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:42,01,鲁027***,-
320300108805947009,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:43,01,鲁Q03***,-
320300108805947059,铜山县,徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口,1,2023/12/1 0:43,02,苏C3T***,-
320300108805947459,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 0:43,01,鲁RP1***,-
320300108805947502,睢宁县,徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口,2,2023/12/1 0:43,52,辽BD0***,-
320300108805947624,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:44,01,鲁BP9***,-
320300108805947957,新沂市,徐州市新沂市S323连徐线K10阿湖卡口-323省道连云港交界市际卡口,1,2023/12/1 0:44,01,豫J86***,-
320300108805948403,睢宁县,徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口,2,2023/12/1 0:45,01,苏HN8***,-
320300108805948430,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:45,01,苏CLY***,-
320300108805948903,邳州市,徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口,1,2023/12/1 0:46,-,鲁851***,-
320300108805949748,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:47,01,鲁GY6***,-
320300108805949827,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:48,01,鲁Q80***,-
320300108805950208,沛县,徐州市沛县S253郑沛龙线K0江苏徐州-S253-苏鲁界省际卡口,1,2023/12/1 0:48,02,苏LN5***,-
320300108805951058,铜山县,徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口,1,2023/12/1 0:50,02,苏C6B***,-
320300108805951208,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:50,01,鲁Q76***,-
320300108805951974,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 0:51,02,苏C17***,-
320300108805952014,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 0:51,02,苏C17***,-
320300108805952284,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 0:52,01,赣F76***,-
320300108805952925,睢宁县,徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口,2,2023/12/1 0:53,01,苏CLP***,-
320300108805952923,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:53,01,鲁JA3***,-
320300108805953072,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:53,01,鲁DK5***,-
320300108805953557,睢宁县,徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口,2,2023/12/1 0:54,01,苏CRE***,-
320300108805953657,铜山县,徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口,1,2023/12/1 0:54,02,苏CK3***,-
320300108805953803,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:55,01,鲁Q36***,-
320300108805954459,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 0:55,02,苏C5J***,-
320300108805954451,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 0:55,02,苏C5J***,-
320300108805955214,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 0:57,02,冀B87***,虹宇牌-未知系列1-未知年款0
320300108805955779,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:58,01,鲁JC3***,-
320300108805956180,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 0:59,01,鲁Q38***,-
320300108805956275,铜山县,徐州市铜山县G206烟台-汕头K816江苏徐州-G206-苏皖界省际卡口,1,2023/12/1 0:59,02,苏CV9***,-
320300108805957030,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:01,01,鲁Q88***,-
320300108805957079,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:01,-,鲁Q81***,-
320300108805957695,邳州市,徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口,1,2023/12/1 1:02,52,鲁CDC***,-
320300108805957829,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:02,01,鲁Q76***,-
