GCXH,XZQHMC,ROAD_ID,K_INDEX,BOUNDARY_LEVEL,BOUNDARY_DETAIL,BOUNDARY_LABEL,CLEAN_KKMC,FXLX,GCSJ,GCSJ_TS,GCSJ_MQ,HPZL,HPZL_LABEL,HPHM,BRAND
F30300108866851752,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-18 00:00:23,1702857623000,2023-12-18 00:00:23,02,小型汽车,冀A81***,东风
F30300108866851617,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2023-12-18 00:00:28,1702857628000,2023-12-18 00:00:28,02,小型汽车,苏CB5***,五菱
F30300108866851625,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-18 00:00:30,1702857630000,2023-12-18 00:00:30,01,大型汽车,苏C3T***,福田
F30300108866851763,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-18 00:00:39,1702857639000,2023-12-18 00:00:39,01,大型汽车,鲁Q83***,福田
F30300108866852436,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-18 00:01:33,1702857693000,2023-12-18 00:01:33,01,大型汽车,苏CGC***,奥迪
F30300108866852559,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2023-12-18 00:01:34,1702857694000,2023-12-18 00:01:34,02,小型汽车,苏C12***,未知
F30300108866852528,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2023-12-18 00:01:36,1702857696000,2023-12-18 00:01:36,01,大型汽车,苏GP2***,福田
F30300108866852604,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2023-12-18 00:01:45,1702857705000,2023-12-18 00:01:45,02,小型汽车,皖LNB***,未知
F30300108866852922,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-18 00:01:47,1702857707000,2023-12-18 00:01:47,01,大型汽车,苏CMP***,东风
F30300108866852761,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-18 00:01:55,1702857715000,2023-12-18 00:01:55,01,大型汽车,鲁Q76***,未知
F30300108866852854,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-18 00:02:00,1702857720000,2023-12-18 00:02:00,01,大型汽车,鲁Q35***,未知
F30300108866853335,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-18 00:02:37,1702857757000,2023-12-18 00:02:37,01,大型汽车,苏CKG***,汉江
F30300108866853386,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-18 00:02:41,1702857761000,2023-12-18 00:02:41,01,大型汽车,豫NM9***,宝马
F30300108866853662,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-18 00:02:44,1702857764000,2023-12-18 00:02:44,01,大型汽车,苏CLS***,福田
F30300108866853892,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-18 00:03:11,1702857791000,2023-12-18 00:03:11,02,小型汽车,苏CE1***,吉利
F30300108866854240,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-18 00:03:26,1702857806000,2023-12-18 00:03:26,01,大型汽车,鲁H18***,一汽
F30300108866854228,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-18 00:03:41,1702857821000,2023-12-18 00:03:41,01,大型汽车,皖C24***,宝马
F30300108866854273,丰县,X308,K19,CITY,丰县-睢宁,县界,X308-K19-市际卡口,1,2023-12-18 00:03:43,1702857823000,2023-12-18 00:03:43,01,大型汽车,苏CJN***,一汽
F30300108866854514,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-18 00:04:06,1702857846000,2023-12-18 00:04:06,01,大型汽车,鲁Q02***,福田
F30300108866854562,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-18 00:04:10,1702857850000,2023-12-18 00:04:10,01,大型汽车,皖LG4***,五十铃
F30300108866854895,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2023-12-18 00:04:36,1702857876000,2023-12-18 00:04:36,01,大型汽车,鲁H70***,未知
F30300108866855182,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-18 00:04:52,1702857892000,2023-12-18 00:04:52,02,小型汽车,苏NL5***,东风
F30300108866855526,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-18 00:05:22,1702857922000,2023-12-18 00:05:22,02,小型汽车,苏C1B***,北京
F30300108866855571,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-18 00:05:26,1702857926000,2023-12-18 00:05:26,02,小型汽车,苏CH5***,江淮
F30300108866855614,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2023-12-18 00:05:28,1702857928000,2023-12-18 00:05:28,02,小型汽车,苏C6X***,未知
F30300108866855984,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-18 00:05:58,1702857958000,2023-12-18 00:05:58,02,小型汽车,苏C57***,现代
F30300108866856353,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-18 00:06:27,1702857987000,2023-12-18 00:06:27,02,小型汽车,苏NR3***,大众
F30300108866856441,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-18 00:06:43,1702858003000,2023-12-18 00:06:43,01,大型汽车,鲁CN1***,宝马
F30300108866856547,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-18 00:06:45,1702858005000,2023-12-18 00:06:45,01,大型汽车,豫NX3***,云度
F30300108866856511,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-18 00:06:50,1702858010000,2023-12-18 00:06:50,01,大型汽车,鲁Q58***,一汽
F30300108866856559,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-18 00:06:54,1702858014000,2023-12-18 00:06:54,01,大型汽车,皖L29***,一汽
F30300108866856833,铜山县,G206,K816,PROVINCE,江苏-安徽,苏皖界,G206-K816-省际卡口,1,2023-12-18 00:07:11,1702858031000,2023-12-18 00:07:11,未知,未知,苏D38***,未知
F30300108866857082,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-18 00:07:17,1702858037000,2023-12-18 00:07:17,01,大型汽车,苏CJT***,未知
F30300108866856886,铜山县,G206,K816,PROVINCE,江苏-安徽,苏皖界,G206-K816-省际卡口,1,2023-12-18 00:07:20,1702858040000,2023-12-18 00:07:20,02,小型汽车,苏C77***,大众
F30300108866856890,铜山县,G206,K816,PROVINCE,江苏-安徽,苏皖界,G206-K816-省际卡口,1,2023-12-18 00:07:22,1702858042000,2023-12-18 00:07:22,02,小型汽车,苏C32***,未知
F30300108866857383,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-18 00:07:43,1702858063000,2023-12-18 00:07:43,01,大型汽车,鲁H50***,福田
F30300108866857670,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-18 00:08:08,1702858088000,2023-12-18 00:08:08,02,小型汽车,豫GB8***,海马
F30300108866857749,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-18 00:08:13,1702858093000,2023-12-18 00:08:13,02,小型汽车,苏CW6***,大众
F30300108866857556,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-18 00:08:13,1702858093000,2023-12-18 00:08:13,01,大型汽车,鲁Q77***,福田
F30300108866857716,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2023-12-18 00:08:20,1702858100000,2023-12-18 00:08:20,02,小型汽车,苏CZ2***,长城
F30300108866858005,新沂市,S505,K10,CITY,徐州-宿迁,宿迁界,S505-K10-市际卡口,1,2023-12-18 00:08:50,1702858130000,2023-12-18 00:08:50,02,小型汽车,苏C35***,比亚迪
F30300108866858042,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-18 00:08:51,1702858131000,2023-12-18 00:08:51,01,大型汽车,鲁Q81***,福特
F30300108866858068,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-18 00:08:57,1702858137000,2023-12-18 00:08:57,01,大型汽车,皖C94***,未知
